"filename", "language", "TypeScript", "Vue", "JavaScript", "Markdown", "JSON", "CSS", "SCSS", "comment", "blank", "total"
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/App.vue", "Vue", 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/api/user.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 10, 4, 29
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/assets/iconfont/demo.css", "CSS", 0, 0, 0, 0, 0, 437, 0, 19, 83, 539
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/assets/iconfont/iconfont.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/assets/iconfont/iconfont.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/components/GIcon.vue", "Vue", 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/components/GInput.vue", "Vue", 0, 63, 0, 0, 0, 0, 0, 0, 2, 65
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/components/GTopSearch.vue", "Vue", 0, 62, 0, 0, 0, 0, 0, 0, 3, 65
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/main.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 2, 11
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/plugins/rem.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/router/index.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 3, 4, 53
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/shims-vue.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/store/index.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 15, 13, 74
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/store/modules/user/action-types.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/store/modules/user/actions.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 1, 3, 19
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/store/modules/user/getters.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 3, 12
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/store/modules/user/index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/store/modules/user/mutation-types.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/zengtianran/Documents/myProject/ztr-v3-template/src/store/modules/user/mutations.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
